"claims" "claim" "exposure" "age" "gender" "marital.status" "education" "region" "vehicle.age" "vehicle.body" "vehicle.use"
0 0 1 33 "Female" "Married" "18" "Lakeview" 6 "Station Wagon" "Business"
0 0 0.75 49 "Male" "Married" "16" "Bleachery" 8 "SUV" "Private"
0 0 1 29 "Male" "Single" "16" "Banks Square" 3 "Station Wagon" "Private"
1 1 0.25 44 "Female" "Married" "22" "Piety Corner" 17 "SUV" "Commute"
1 1 1 29 "Male" "Married" "12" "Lakeview" 6 "Hatchback" "Commute"
1 1 1 45 "Female" "Single" "12" "Bleachery" 4 "Truck" "Commute"
0 0 1 26 "Female" "Single" "22" "Piety Corner" 19 "SUV" "Commute"
0 0 1 29 "Female" "Married" "16" "Piety Corner" 2 "Station Wagon" "Commute"
0 0 1 55 "Female" "Married" "18" "The Chemistry" 8 "SUV" "Commute"
0 0 1 50 "Female" "Single" "16" "Lakeview" 7 "Sedan" "Private"
0 0 0.416666666666667 39 "Male" "Married" "12" "The Lanes" 9 "SUV" "Private"
0 0 1 43 "Male" "Married" "22" "Warrendale" 5 "SUV" "Private"
0 0 0.166666666666667 56 "Female" "Married" "22" "Lakeview" 6 "Sedan" "Private"
0 0 1 32 "Female" "Single" "16" "Bleachery" 21 "Panel Van" "Private"
0 0 0.666666666666667 34 "Female" "Single" "16" "The Lanes" 6 "SUV" "Private"
0 0 0.5 71 "Female" "Single" "18" "Warrendale" 5 "Hatchback" "Business"
0 0 1 29 "Male" "Single" "12" "The Chemistry" 4 "Minibus" "Private"
0 0 1 17 "Male" "Married" "22" "Lakeview" 3 "Truck" "Private"
0 0 1 47 "Male" "Married" "18" "Bleachery" 6 "Minibus" "Commute"
0 0 1 53 "Female" "Married" "16" "The Chemistry" 5 "Minibus" "Commute"
0 0 1 42 "Female" "Married" "16" "The Lanes" 0 "Station Wagon" "Commute"
0 0 1 23 "Female" "Single" "22" "Bleachery" 9 "Hatchback" "Commute"
0 0 1 36 "Female" "Married" "18" "Bleachery" 2 "SUV" "Commute"
0 0 1 21 "Female" "Married" "12" "Bleachery" 6 "Hatchback" "Business"
0 0 1 35 "Female" "Married" "16" "The Lanes" 5 "Sedan" "Commute"
0 0 1 40 "Male" "Married" "18" "Lakeview" 4 "Station Wagon" "Commute"
1 1 1 51 "Male" "Married" "16" "Warrendale" 18 "Truck" "Private"
0 0 1 42 "Female" "Single" "18" "The Lanes" 1 "SUV" "Private"
0 0 1 73 "Female" "Married" "16" "Lakeview" 3 "Sedan" "Commute"
0 0 0.75 67 "Female" "Married" "18" "Warrendale" 6 "Sedan" "Business"
0 0 1 18 "Male" "Married" "22" "Warrendale" 16 "SUV" "Commute"
0 0 1 31 "Female" "Married" "18" "Piety Corner" 0 "Roadster" "Private"
0 0 1 31 "Female" "Married" "12" "Highlands" 4 "Minibus" "Commute"
0 0 1 63 "Male" "Single" "16" "Lakeview" 1 "SUV" "Commute"
0 0 0.333333333333333 28 "Male" "Married" "18" "The Chemistry" 0 "SUV" "Private"
0 0 0.916666666666667 20 "Male" "Married" "22" "Bleachery" 4 "Sedan" "Commute"
0 0 1 21 "Female" "Married" "12" "Lakeview" 8 "Sedan" "Commute"
0 0 1 58 "Female" "Married" "16" "Piety Corner" 1 "Panel Van" "Commute"
0 0 1 52 "Female" "Married" "18" "Lakeview" 1 "Hatchback" "Commute"
0 0 0.75 20 "Male" "Married" "18" "Highlands" 11 "Hatchback" "Commute"
0 0 1 33 "Male" "Married" "18" "Piety Corner" 2 "SUV" "Commute"
0 0 1 44 "Female" "Married" "16" "Bleachery" 2 "Hatchback" "Private"
0 0 1 30 "Male" "Single" "18" "Warrendale" 23 "Station Wagon" "Commute"
0 0 1 21 "Female" "Married" "12" "Warrendale" 7 "Panel Van" "Private"
0 0 0.5 28 "Female" "Married" "16" "Highlands" 7 "Panel Van" "Commute"
0 0 0.416666666666667 32 "Male" "Married" "12" "The Chemistry" 2 "SUV" "Private"
0 0 1 55 "Female" "Single" "18" "Warrendale" 6 "Panel Van" "Private"
0 0 0.666666666666667 29 "Female" "Married" "16" "Lakeview" 2 "Roadster" "Commute"
0 0 0.5 32 "Male" "Single" "18" "The Lanes" 16 "Sedan" "Commute"
0 0 0.833333333333333 44 "Male" "Married" "12" "Warrendale" 6 "Hatchback" "Commute"
0 0 1 35 "Male" "Married" "22" "Warrendale" 7 "Minibus" "Private"
0 0 1 18 "Female" "Single" "12" "Lakeview" 22 "Station Wagon" "Commute"
0 0 1 25 "Female" "Married" "18" "Bleachery" 6 "Station Wagon" "Private"
0 0 0.5 43 "Male" "Married" "22" "Warrendale" 25 "Panel Van" "Commute"
0 0 1 42 "Male" "Married" "18" "Warrendale" 5 "Panel Van" "Commute"
1 1 0.916666666666667 22 "Male" "Married" "12" "Warrendale" 19 "Station Wagon" "Commute"
0 0 1 48 "Female" "Married" "22" "The Chemistry" 9 "Station Wagon" "Commute"
1 1 1 22 "Female" "Single" "22" "Lakeview" 3 "SUV" "Private"
1 1 1 35 "Male" "Married" "16" "Lakeview" 12 "Minibus" "Commute"
1 1 1 20 "Male" "Married" "12" "Banks Square" 8 "SUV" "Business"
1 1 1 24 "Male" "Married" "12" "Highlands" 4 "SUV" "Commute"
0 0 1 18 "Female" "Married" "18" "Piety Corner" 1 "Hatchback" "Private"
0 0 1 21 "Female" "Married" "16" "Warrendale" 3 "Hatchback" "Commute"
0 0 0.25 24 "Male" "Married" "12" "Warrendale" 7 "Sedan" "Private"
1 1 1 17 "Female" "Married" "18" "Piety Corner" 19 "Sedan" "Private"
0 0 1 23 "Male" "Married" "22" "Highlands" 5 "Sedan" "Commute"
0 0 0.25 46 "Female" "Married" "18" "The Lanes" 8 "SUV" "Commute"
0 0 1 26 "Female" "Single" "22" "The Chemistry" 5 "Minibus" "Private"
0 0 0.25 26 "Female" "Married" "18" "Lakeview" 6 "Hatchback" "Commute"
0 0 1 34 "Female" "Married" "12" "Piety Corner" 21 "Minibus" "Commute"
0 0 1 75 "Female" "Married" "16" "Lakeview" 21 "SUV" "Private"
0 0 1 35 "Female" "Married" "16" "Lakeview" 1 "Hatchback" "Commute"
0 0 1 46 "Male" "Married" "12" "Bleachery" 1 "Minibus" "Commute"
0 0 1 24 "Female" "Married" "22" "Warrendale" 7 "SUV" "Commute"
0 0 1 22 "Female" "Married" "22" "Piety Corner" 2 "Sedan" "Commute"
0 0 0.75 39 "Male" "Single" "18" "Piety Corner" 19 "Hatchback" "Private"
0 0 1 25 "Male" "Married" "18" "Warrendale" 2 "Sedan" "Commute"
0 0 1 32 "Male" "Single" "12" "The Chemistry" 0 "Truck" "Business"
0 0 1 20 "Female" "Married" "16" "Piety Corner" 1 "Hatchback" "Business"
0 0 1 72 "Female" "Married" "16" "The Lanes" 1 "Minibus" "Commute"
0 0 1 18 "Female" "Married" "22" "Lakeview" 0 "Hatchback" "Commute"
0 0 1 29 "Male" "Married" "16" "Bleachery" 7 "Station Wagon" "Commute"
0 0 1 32 "Female" "Married" "18" "Highlands" 8 "Panel Van" "Private"
0 0 1 29 "Male" "Married" "16" "Lakeview" 7 "Station Wagon" "Private"
0 0 1 17 "Male" "Married" "18" "Bleachery" 1 "Roadster" "Business"
0 0 1 44 "Female" "Single" "16" "Bleachery" 7 "Roadster" "Commute"
0 0 1 30 "Male" "Single" "12" "Lakeview" 18 "Truck" "Private"
0 0 1 25 "Male" "Single" "16" "The Chemistry" 4 "Station Wagon" "Commute"
0 0 0.25 29 "Female" "Married" "16" "Bleachery" 3 "Panel Van" "Private"
0 0 1 51 "Female" "Married" "12" "Warrendale" 7 "Sedan" "Commute"
0 0 1 23 "Female" "Married" "22" "Piety Corner" 4 "SUV" "Private"
0 0 0.5 39 "Female" "Married" "18" "The Lanes" 18 "Hatchback" "Private"
0 0 0.5 38 "Female" "Married" "18" "Lakeview" 23 "Station Wagon" "Commute"
1 1 0.916666666666667 43 "Female" "Married" "12" "Lakeview" 5 "Truck" "Commute"
0 0 1 33 "Male" "Married" "16" "The Chemistry" 17 "SUV" "Private"
1 1 1 40 "Female" "Married" "22" "Lakeview" 7 "Hatchback" "Commute"
0 0 1 30 "Male" "Married" "18" "Warrendale" 9 "Sedan" "Commute"
0 0 1 27 "Male" "Married" "22" "Banks Square" 6 "Hatchback" "Commute"
0 0 1 41 "Female" "Married" "12" "Piety Corner" 9 "Hatchback" "Commute"
0 0 1 33 "Female" "Married" "16" "Warrendale" 1 "Station Wagon" "Business"
0 0 0.75 70 "Male" "Married" "16" "The Chemistry" 3 "Station Wagon" "Commute"
0 0 1 60 "Female" "Married" "12" "The Lanes" 19 "Minibus" "Private"
0 0 0.25 50 "Male" "Single" "12" "Lakeview" 23 "Hatchback" "Commute"
0 0 1 26 "Female" "Married" "12" "Highlands" 8 "Sedan" "Private"
1 1 1 70 "Male" "Single" "12" "Highlands" 7 "Sedan" "Commute"
1 1 1 25 "Female" "Single" "12" "Piety Corner" 17 "Roadster" "Private"
0 0 1 25 "Male" "Married" "18" "Lakeview" 8 "Sedan" "Commute"
0 0 1 21 "Female" "Married" "22" "Bleachery" 16 "SUV" "Commute"
0 0 1 22 "Female" "Single" "18" "Piety Corner" 17 "SUV" "Commute"
1 1 1 47 "Female" "Single" "16" "Bleachery" 5 "Station Wagon" "Commute"
0 0 1 44 "Female" "Married" "16" "Bleachery" 0 "SUV" "Private"
0 0 0.5 70 "Male" "Married" "12" "Lakeview" 0 "Hatchback" "Commute"
0 0 1 32 "Female" "Married" "18" "Piety Corner" 2 "Minibus" "Commute"
0 0 1 27 "Female" "Married" "12" "Piety Corner" 4 "Sedan" "Private"
0 0 1 26 "Male" "Single" "22" "Warrendale" 11 "Hatchback" "Private"
0 0 1 45 "Female" "Single" "22" "Lakeview" 4 "SUV" "Commute"
1 1 1 41 "Female" "Married" "18" "The Chemistry" 2 "Minibus" "Commute"
0 0 1 37 "Male" "Single" "18" "Bleachery" 1 "Hatchback" "Private"
0 0 1 22 "Male" "Married" "12" "Bleachery" 9 "Hatchback" "Commute"
0 0 1 31 "Male" "Married" "12" "Piety Corner" 19 "Sedan" "Private"
0 0 1 35 "Female" "Married" "16" "Piety Corner" 9 "Panel Van" "Private"
0 0 1 44 "Female" "Single" "12" "The Chemistry" 11 "Minibus" "Private"
0 0 1 29 "Female" "Married" "18" "The Lanes" 9 "SUV" "Commute"
0 0 1 35 "Female" "Married" "16" "The Chemistry" 5 "Minibus" "Private"
0 0 1 33 "Female" "Married" "22" "Piety Corner" 14 "Sedan" "Private"
0 0 1 24 "Male" "Married" "18" "Warrendale" 7 "SUV" "Private"
1 1 1 48 "Male" "Married" "22" "Piety Corner" 2 "Truck" "Commute"
1 1 1 37 "Female" "Married" "22" "Piety Corner" 14 "Hatchback" "Commute"
0 0 1 54 "Male" "Single" "12" "Lakeview" 4 "Station Wagon" "Commute"
0 0 1 26 "Female" "Single" "12" "The Lanes" 9 "SUV" "Private"
0 0 0.75 32 "Female" "Married" "12" "The Lanes" 6 "Station Wagon" "Private"
0 0 0.25 33 "Female" "Married" "22" "Lakeview" 18 "Station Wagon" "Commute"
0 0 1 25 "Female" "Married" "12" "Lakeview" 7 "SUV" "Commute"
0 0 1 31 "Male" "Married" "12" "Piety Corner" 9 "Minibus" "Commute"
0 0 1 32 "Female" "Married" "18" "Highlands" 8 "Panel Van" "Commute"
1 1 1 34 "Female" "Married" "18" "Bleachery" 8 "Minibus" "Business"
0 0 1 23 "Female" "Single" "22" "Bleachery" 0 "Sedan" "Commute"
0 0 1 22 "Male" "Married" "22" "The Lanes" 2 "SUV" "Commute"
0 0 1 30 "Male" "Married" "22" "Lakeview" 8 "SUV" "Commute"
0 0 1 26 "Female" "Single" "12" "Banks Square" 8 "Station Wagon" "Private"
1 1 1 37 "Female" "Married" "18" "The Lanes" 17 "Minibus" "Commute"
0 0 0.666666666666667 53 "Male" "Single" "22" "Piety Corner" 6 "Minibus" "Commute"
0 0 1 67 "Male" "Married" "18" "The Lanes" 0 "SUV" "Private"
0 0 0.5 22 "Male" "Married" "18" "Bleachery" 15 "Hatchback" "Private"
0 0 0.5 17 "Male" "Married" "22" "Bleachery" 3 "Minibus" "Business"
0 0 1 44 "Female" "Married" "12" "Piety Corner" 9 "SUV" "Commute"
0 0 1 57 "Male" "Married" "16" "Piety Corner" 1 "Station Wagon" "Private"
0 0 0.666666666666667 30 "Female" "Single" "12" "Warrendale" 10 "Sedan" "Commute"
0 0 1 28 "Female" "Married" "12" "Piety Corner" 17 "Hatchback" "Commute"
0 0 1 42 "Female" "Married" "16" "The Chemistry" 24 "Minibus" "Commute"
0 0 1 34 "Male" "Married" "12" "Lakeview" 8 "Panel Van" "Private"
0 0 0.166666666666667 35 "Female" "Married" "12" "Bleachery" 16 "SUV" "Business"
0 0 1 25 "Male" "Married" "16" "Warrendale" 7 "Panel Van" "Commute"
0 0 1 43 "Female" "Married" "18" "Bleachery" 1 "Truck" "Private"
0 0 1 25 "Male" "Single" "18" "Warrendale" 1 "Hatchback" "Commute"
0 0 1 24 "Female" "Married" "12" "The Chemistry" 20 "SUV" "Commute"
1 1 0.0833333333333333 35 "Female" "Single" "16" "Warrendale" 1 "Sedan" "Business"
0 0 1 74 "Female" "Married" "16" "Lakeview" 5 "SUV" "Private"
0 0 1 19 "Female" "Single" "12" "Bleachery" 4 "SUV" "Private"
0 0 1 24 "Male" "Married" "16" "The Lanes" 5 "SUV" "Private"
0 0 1 25 "Female" "Married" "16" "Warrendale" 5 "Minibus" "Commute"
0 0 1 20 "Male" "Married" "22" "Lakeview" 4 "SUV" "Private"
0 0 1 23 "Female" "Married" "18" "The Lanes" 23 "Panel Van" "Private"
1 1 0.25 24 "Female" "Single" "22" "Bleachery" 5 "Truck" "Private"
0 0 1 66 "Female" "Married" "22" "Warrendale" 2 "Station Wagon" "Commute"
0 0 1 33 "Male" "Married" "22" "Lakeview" 13 "Hatchback" "Private"
0 0 1 31 "Female" "Married" "18" "Lakeview" 17 "Panel Van" "Commute"
0 0 1 40 "Female" "Married" "12" "Lakeview" 3 "SUV" "Commute"
0 0 0.583333333333333 57 "Male" "Married" "12" "The Chemistry" 10 "Hatchback" "Commute"
0 0 0.75 31 "Male" "Married" "16" "The Chemistry" 1 "SUV" "Commute"
0 0 1 41 "Female" "Married" "22" "Warrendale" 6 "SUV" "Commute"
1 1 1 47 "Male" "Married" "12" "The Lanes" 7 "Panel Van" "Commute"
0 0 1 28 "Female" "Married" "18" "The Lanes" 19 "Sedan" "Private"
0 0 1 35 "Male" "Married" "12" "Lakeview" 17 "Roadster" "Commute"
0 0 1 57 "Male" "Married" "22" "The Chemistry" 8 "Hatchback" "Private"
0 0 1 36 "Female" "Married" "12" "The Lanes" 23 "Sedan" "Business"
0 0 1 32 "Male" "Married" "18" "Warrendale" 11 "Sedan" "Commute"
0 0 1 22 "Female" "Married" "16" "Lakeview" 8 "SUV" "Private"
0 0 0.916666666666667 60 "Male" "Married" "22" "Bleachery" 1 "Hatchback" "Commute"
0 0 0.25 22 "Male" "Married" "16" "Lakeview" 0 "Truck" "Commute"
1 1 0.5 71 "Female" "Married" "12" "Warrendale" 7 "Sedan" "Commute"
0 0 0.75 17 "Female" "Married" "18" "Piety Corner" 1 "Panel Van" "Commute"
0 0 1 28 "Male" "Married" "22" "Lakeview" 0 "Station Wagon" "Commute"
0 0 1 45 "Female" "Single" "12" "Highlands" 23 "Station Wagon" "Private"
0 0 1 29 "Female" "Married" "16" "Warrendale" 18 "Station Wagon" "Commute"
0 0 1 29 "Male" "Married" "22" "The Lanes" 1 "SUV" "Commute"
0 0 1 53 "Female" "Married" "16" "Warrendale" 14 "Sedan" "Commute"
2 1 0.5 33 "Male" "Married" "22" "Warrendale" 6 "SUV" "Private"
0 0 1 31 "Female" "Married" "12" "Warrendale" 0 "Minibus" "Commute"
0 0 1 57 "Female" "Single" "22" "The Chemistry" 4 "Hatchback" "Commute"
0 0 1 46 "Female" "Married" "12" "Warrendale" 6 "Hatchback" "Private"
0 0 1 24 "Male" "Married" "12" "The Lanes" 6 "Panel Van" "Commute"
0 0 1 36 "Male" "Married" "16" "Bleachery" 24 "Sedan" "Commute"
0 0 1 40 "Female" "Married" "18" "Warrendale" 2 "Hatchback" "Commute"
0 0 1 21 "Female" "Married" "12" "Warrendale" 9 "SUV" "Commute"
0 0 1 35 "Female" "Married" "12" "Warrendale" 6 "Station Wagon" "Private"
0 0 1 36 "Female" "Married" "22" "Lakeview" 15 "SUV" "Commute"
0 0 1 28 "Female" "Married" "12" "Lakeview" 13 "SUV" "Private"
0 0 1 40 "Male" "Married" "12" "Lakeview" 0 "Hatchback" "Private"
0 0 0.5 34 "Female" "Married" "22" "Bleachery" 3 "SUV" "Private"
0 0 1 72 "Female" "Married" "12" "Bleachery" 2 "Hatchback" "Private"
0 0 1 28 "Male" "Single" "16" "Banks Square" 10 "SUV" "Commute"
0 0 1 23 "Male" "Married" "16" "Bleachery" 8 "Truck" "Private"
0 0 1 17 "Female" "Married" "22" "Piety Corner" 8 "SUV" "Private"
0 0 0.75 68 "Female" "Married" "12" "Banks Square" 24 "Hatchback" "Business"
0 0 1 44 "Female" "Married" "12" "Bleachery" 1 "Station Wagon" "Commute"
0 0 1 21 "Female" "Single" "18" "Lakeview" 1 "SUV" "Private"
0 0 1 43 "Female" "Married" "16" "Bleachery" 4 "Hatchback" "Commute"
0 0 1 36 "Female" "Married" "18" "Piety Corner" 3 "SUV" "Private"
0 0 1 56 "Female" "Single" "12" "The Lanes" 7 "Minibus" "Commute"
0 0 1 39 "Female" "Married" "22" "Lakeview" 2 "Panel Van" "Commute"
0 0 1 25 "Female" "Married" "16" "The Lanes" 6 "Hatchback" "Commute"
0 0 1 47 "Male" "Married" "16" "Piety Corner" 4 "SUV" "Private"
0 0 1 51 "Female" "Single" "18" "Piety Corner" 15 "SUV" "Commute"
0 0 1 22 "Female" "Married" "22" "Piety Corner" 6 "Sedan" "Commute"
0 0 0.333333333333333 37 "Male" "Married" "18" "Piety Corner" 4 "Sedan" "Private"
0 0 1 25 "Male" "Married" "22" "Lakeview" 1 "SUV" "Private"
0 0 1 19 "Male" "Single" "22" "Banks Square" 4 "Minibus" "Private"
0 0 0.75 40 "Male" "Married" "16" "Lakeview" 6 "Sedan" "Commute"
1 1 1 21 "Male" "Married" "16" "Warrendale" 3 "SUV" "Commute"
0 0 1 25 "Female" "Married" "12" "Bleachery" 9 "SUV" "Commute"
1 1 1 65 "Male" "Married" "12" "Lakeview" 24 "Station Wagon" "Commute"
0 0 1 54 "Male" "Married" "18" "The Lanes" 16 "Hatchback" "Commute"
0 0 1 52 "Female" "Married" "12" "Piety Corner" 8 "SUV" "Private"
0 0 1 20 "Female" "Married" "12" "Bleachery" 0 "Sedan" "Private"
0 0 1 34 "Female" "Single" "22" "Lakeview" 22 "Truck" "Commute"
0 0 0.5 58 "Female" "Married" "16" "Lakeview" 6 "Hatchback" "Private"
0 0 1 28 "Female" "Married" "12" "Bleachery" 4 "Station Wagon" "Commute"
0 0 1 25 "Male" "Single" "12" "Lakeview" 24 "SUV" "Private"
0 0 1 39 "Female" "Married" "12" "The Lanes" 5 "Sedan" "Commute"
0 0 1 35 "Male" "Single" "16" "Highlands" 7 "Roadster" "Commute"
0 0 1 46 "Female" "Married" "12" "Highlands" 6 "Truck" "Private"
0 0 1 26 "Male" "Married" "22" "Bleachery" 22 "SUV" "Private"
0 0 1 46 "Male" "Married" "16" "The Chemistry" 5 "Station Wagon" "Private"
0 0 1 70 "Male" "Married" "18" "Piety Corner" 9 "Hatchback" "Commute"
0 0 1 48 "Male" "Married" "18" "Warrendale" 0 "Hatchback" "Commute"
0 0 0.0833333333333333 33 "Female" "Single" "22" "Warrendale" 24 "Panel Van" "Private"
0 0 0.416666666666667 30 "Female" "Married" "18" "Piety Corner" 9 "Panel Van" "Commute"
0 0 0.25 58 "Male" "Married" "12" "Piety Corner" 8 "Sedan" "Private"
0 0 1 32 "Female" "Married" "16" "The Chemistry" 8 "Panel Van" "Commute"
0 0 1 72 "Male" "Married" "22" "Lakeview" 19 "Sedan" "Private"
0 0 1 39 "Female" "Married" "22" "Lakeview" 4 "Truck" "Commute"
0 0 0.75 30 "Male" "Married" "22" "Piety Corner" 2 "Sedan" "Private"
0 0 1 31 "Female" "Married" "18" "Warrendale" 4 "Hatchback" "Commute"
0 0 1 65 "Male" "Married" "22" "Bleachery" 1 "Panel Van" "Private"
0 0 1 29 "Male" "Single" "22" "Piety Corner" 2 "Sedan" "Commute"
0 0 1 69 "Female" "Married" "16" "Warrendale" 7 "SUV" "Private"
0 0 1 25 "Male" "Married" "18" "Piety Corner" 7 "Panel Van" "Commute"
1 1 1 20 "Male" "Single" "12" "The Lanes" 3 "Truck" "Private"
0 0 1 39 "Female" "Married" "22" "The Chemistry" 4 "SUV" "Commute"
0 0 1 36 "Female" "Single" "12" "The Chemistry" 4 "Hatchback" "Private"
0 0 1 49 "Male" "Married" "22" "The Lanes" 9 "Sedan" "Commute"
0 0 1 24 "Female" "Married" "12" "Lakeview" 5 "SUV" "Commute"
0 0 1 30 "Female" "Married" "22" "Highlands" 9 "Sedan" "Commute"
0 0 1 56 "Female" "Married" "18" "The Lanes" 5 "SUV" "Commute"
0 0 1 25 "Female" "Married" "18" "Warrendale" 2 "SUV" "Commute"
0 0 1 71 "Female" "Married" "16" "Lakeview" 22 "Station Wagon" "Commute"
0 0 0.583333333333333 42 "Male" "Married" "22" "The Lanes" 23 "Panel Van" "Commute"
0 0 1 47 "Female" "Married" "22" "Lakeview" 1 "Sedan" "Private"
0 0 1 28 "Female" "Married" "22" "Lakeview" 12 "Roadster" "Private"
0 0 1 35 "Female" "Married" "16" "Piety Corner" 5 "Station Wagon" "Private"
0 0 1 31 "Male" "Married" "22" "The Chemistry" 9 "Sedan" "Commute"
0 0 1 24 "Female" "Married" "16" "Warrendale" 11 "Station Wagon" "Commute"
0 0 1 35 "Female" "Single" "12" "Bleachery" 21 "Station Wagon" "Private"
0 0 1 51 "Male" "Married" "12" "The Chemistry" 1 "Truck" "Commute"
0 0 1 44 "Male" "Married" "18" "The Lanes" 2 "Panel Van" "Private"
0 0 1 34 "Male" "Single" "22" "Lakeview" 16 "SUV" "Private"
0 0 1 19 "Male" "Married" "22" "The Chemistry" 7 "Hatchback" "Commute"
0 0 1 24 "Female" "Married" "16" "Banks Square" 7 "Station Wagon" "Commute"
0 0 1 51 "Female" "Single" "12" "Lakeview" 20 "Sedan" "Commute"
1 1 1 42 "Female" "Single" "12" "The Chemistry" 5 "Minibus" "Commute"
0 0 0.75 35 "Female" "Married" "16" "The Lanes" 1 "Minibus" "Private"
0 0 1 30 "Female" "Married" "22" "Warrendale" 1 "Sedan" "Commute"
0 0 0.25 62 "Male" "Single" "16" "Highlands" 10 "Station Wagon" "Business"
0 0 0.333333333333333 23 "Female" "Single" "22" "Lakeview" 9 "SUV" "Commute"
0 0 1 22 "Male" "Single" "16" "Piety Corner" 3 "Hatchback" "Private"
0 0 1 29 "Female" "Married" "18" "Bleachery" 4 "SUV" "Commute"
0 0 1 33 "Female" "Married" "16" "Warrendale" 6 "Sedan" "Business"
0 0 1 33 "Female" "Married" "18" "Warrendale" 7 "SUV" "Private"
0 0 1 50 "Female" "Married" "22" "Lakeview" 8 "Truck" "Commute"
0 0 1 24 "Male" "Married" "22" "Banks Square" 3 "Hatchback" "Commute"
1 1 1 53 "Female" "Married" "16" "Warrendale" 8 "Hatchback" "Commute"
0 0 1 33 "Male" "Married" "16" "Warrendale" 1 "Station Wagon" "Private"
0 0 0.666666666666667 67 "Female" "Married" "22" "Bleachery" 11 "Sedan" "Private"
0 0 0.833333333333333 74 "Female" "Married" "18" "Bleachery" 4 "Hatchback" "Commute"
0 0 1 69 "Male" "Married" "12" "Highlands" 6 "Panel Van" "Commute"
0 0 1 67 "Male" "Married" "16" "Warrendale" 3 "Sedan" "Private"
0 0 1 63 "Female" "Married" "18" "Highlands" 10 "SUV" "Private"
3 1 1 26 "Female" "Married" "18" "Piety Corner" 11 "SUV" "Commute"
1 1 1 29 "Female" "Married" "12" "Bleachery" 7 "Station Wagon" "Commute"
2 1 1 34 "Male" "Married" "22" "Piety Corner" 2 "Sedan" "Commute"
0 0 1 31 "Female" "Married" "22" "Lakeview" 1 "SUV" "Business"
0 0 1 32 "Male" "Single" "16" "Highlands" 0 "Minibus" "Private"
0 0 1 21 "Male" "Married" "12" "Piety Corner" 4 "SUV" "Private"
0 0 1 27 "Male" "Married" "22" "Piety Corner" 7 "Minibus" "Private"
0 0 1 23 "Female" "Married" "12" "Warrendale" 3 "SUV" "Private"
0 0 1 29 "Female" "Married" "16" "Warrendale" 0 "Hatchback" "Commute"
0 0 1 34 "Male" "Married" "16" "Banks Square" 5 "Panel Van" "Private"
1 1 1 23 "Male" "Married" "22" "The Chemistry" 4 "SUV" "Private"
0 0 0.75 58 "Male" "Married" "16" "Highlands" 7 "SUV" "Commute"
0 0 1 39 "Female" "Single" "22" "Warrendale" 8 "SUV" "Commute"
0 0 1 39 "Female" "Married" "18" "Warrendale" 24 "SUV" "Private"
1 1 1 30 "Male" "Married" "18" "Lakeview" 7 "Sedan" "Commute"
0 0 1 33 "Female" "Married" "18" "Banks Square" 8 "Panel Van" "Commute"
